time,soilmoist1_day_livneh_vic
1950-11-18 00:00:00+00:00,22.24572
1950-11-19 00:00:00+00:00,22.038036
1950-11-20 00:00:00+00:00,21.654886
1950-11-21 00:00:00+00:00,20.349634
1950-11-22 00:00:00+00:00,19.371851
1950-11-23 00:00:00+00:00,18.866655
1950-11-24 00:00:00+00:00,18.532642
1950-11-25 00:00:00+00:00,18.270624
1950-11-26 00:00:00+00:00,18.470072
1950-11-27 00:00:00+00:00,18.549063
1950-11-28 00:00:00+00:00,18.015192
1950-11-29 00:00:00+00:00,18.2914
1950-11-30 00:00:00+00:00,18.92783
1950-12-01 00:00:00+00:00,18.801813
1950-12-02 00:00:00+00:00,20.192366
1950-12-03 00:00:00+00:00,22.135675
1950-12-04 00:00:00+00:00,21.130037
1950-12-05 00:00:00+00:00,20.379099
1950-12-06 00:00:00+00:00,21.337727
1950-12-07 00:00:00+00:00,21.53173
1950-12-08 00:00:00+00:00,21.033167
1950-12-09 00:00:00+00:00,19.974031
1950-12-10 00:00:00+00:00,19.730349
1950-12-11 00:00:00+00:00,19.471338
1950-12-12 00:00:00+00:00,18.999638
1950-12-13 00:00:00+00:00,19.87149
1950-12-14 00:00:00+00:00,20.381681
1950-12-15 00:00:00+00:00,19.383978
1950-12-16 00:00:00+00:00,18.898417
1950-12-17 00:00:00+00:00,18.499401
1950-12-18 00:00:00+00:00,18.436005
1950-12-19 00:00:00+00:00,18.24521
1950-12-20 00:00:00+00:00,17.928114
1950-12-21 00:00:00+00:00,17.683153
1950-12-22 00:00:00+00:00,17.498825
1950-12-23 00:00:00+00:00,17.333271
1950-12-24 00:00:00+00:00,17.211105
1950-12-25 00:00:00+00:00,17.43493
1950-12-26 00:00:00+00:00,17.53205
1950-12-27 00:00:00+00:00,17.473215
1950-12-28 00:00:00+00:00,17.495647
1950-12-29 00:00:00+00:00,17.703907
1950-12-30 00:00:00+00:00,17.745625
1950-12-31 00:00:00+00:00,17.556644
1951-01-01 00:00:00+00:00,17.579098
1951-01-02 00:00:00+00:00,18.146568
1951-01-03 00:00:00+00:00,18.195543
1951-01-04 00:00:00+00:00,18.042912
1951-01-05 00:00:00+00:00,17.67251
1951-01-06 00:00:00+00:00,17.45165
1951-01-07 00:00:00+00:00,17.406593
1951-01-08 00:00:00+00:00,17.574812
1951-01-09 00:00:00+00:00,18.219097
1951-01-10 00:00:00+00:00,19.856249
1951-01-11 00:00:00+00:00,20.961493
1951-01-12 00:00:00+00:00,20.634789
1951-01-13 00:00:00+00:00,20.051243
1951-01-14 00:00:00+00:00,20.449032
1951-01-15 00:00:00+00:00,20.995039
1951-01-16 00:00:00+00:00,20.879332
1951-01-17 00:00:00+00:00,21.263666
1951-01-18 00:00:00+00:00,21.604082
1951-01-19 00:00:00+00:00,20.91239
1951-01-20 00:00:00+00:00,20.52992
1951-01-21 00:00:00+00:00,20.856367
1951-01-22 00:00:00+00:00,21.230337
1951-01-23 00:00:00+00:00,20.55324
1951-01-24 00:00:00+00:00,19.982277
1951-01-25 00:00:00+00:00,19.547874
1951-01-26 00:00:00+00:00,19.383604
1951-01-27 00:00:00+00:00,19.148678
1951-01-28 00:00:00+00:00,19.335327
1951-01-29 00:00:00+00:00,20.834818
1951-01-30 00:00:00+00:00,20.397669
1951-01-31 00:00:00+00:00,19.950748
1951-02-01 00:00:00+00:00,20.012157
1951-02-02 00:00:00+00:00,20.382084
1951-02-03 00:00:00+00:00,20.86051
1951-02-04 00:00:00+00:00,21.778017
1951-02-05 00:00:00+00:00,21.418133
1951-02-06 00:00:00+00:00,20.566765
1951-02-07 00:00:00+00:00,20.45134
1951-02-08 00:00:00+00:00,19.777203
1951-02-09 00:00:00+00:00,19.770826
